Technologies,Percentage
 Metadata,0.4250295159386069
 Master Data Management,0.4250295159386069
 Business analytics,0.41715859897678076
 Data cleaning,0.41715859897678076
 Vendor management,0.41715859897678076
 Travel,0.41715859897678076
 Pricing,0.41715859897678076
 DB2,0.41715859897678076
 Jenkins,0.4092876820149548
 Microsoft Teams,0.4092876820149548
 Microsoft Defender for Cloud,0.4092876820149548
 Data migration,0.4014167650531287
 Communications,0.4014167650531287
 Incident Management,0.4014167650531287
 Data Quality Management,0.4014167650531287
Epic,0.4014167650531287
 Statistical methods,0.4014167650531287
Data Analyst,0.4014167650531287
 Supply Chain,0.4014167650531287
 Technical Documentation,0.4014167650531287
 PeopleSoft,0.4014167650531287
 Team work,0.4014167650531287
 Test Cases,0.4014167650531287
 Programming Languages,0.39354584809130266
 Financial planning,0.39354584809130266
 Independent work,0.39354584809130266
 Performance Metrics,0.39354584809130266
 Continuous improvement,0.39354584809130266
 Data Models,0.39354584809130266
 Configuration Management,0.3856749311294766
 Data Storytelling,0.3856749311294766
 Algorithms,0.3856749311294766
 Procedures,0.3856749311294766
 Cloud computing,0.3856749311294766
 Relationship Building,0.3856749311294766
 Data Entry,0.3856749311294766
 Quality Control,0.3856749311294766
 Technology,0.3856749311294766
 Product Development,0.3856749311294766
 Ecommerce,0.3856749311294766
 Data Pipelines,0.3856749311294766
 System analysis,0.3778040141676505
 Financial Systems,0.3778040141676505
 Data Quality Assurance,0.3778040141676505
 Unit testing,0.3778040141676505
 Hardware,0.3778040141676505
 Quality Management,0.3778040141676505
 Business process design,0.3778040141676505
 Firewalls,0.3778040141676505
 Solution Design,0.3699330972058245
 Crossfunctional collaboration,0.3699330972058245
 Business Strategy,0.3699330972058245
Data analytics,0.3699330972058245
 Generative AI,0.3699330972058245
 Cloud,0.3699330972058245
 Regression Testing,0.3699330972058245
 Systems analysis,0.3699330972058245
 Reconciliation,0.36206218024399844
 Team Leadership,0.36206218024399844
 BI tools,0.36206218024399844
 Segmentation,0.36206218024399844
 Redshift,0.36206218024399844
 Management,0.3541912632821724
 Test plans,0.3541912632821724
 RDBMS,0.3541912632821724
 Microsoft 365,0.3541912632821724
 System Configuration,0.3541912632821724
 Data Structures,0.3541912632821724
 Unix,0.3541912632821724
 Coding,0.3541912632821724
 Digital Marketing,0.3541912632821724
 Data Gathering,0.3541912632821724
 Authentication,0.3541912632821724
 Independent Work,0.3541912632821724
 E1 Interactive Applications,0.3541912632821724
 System testing,0.3541912632821724
 Requirements Management,0.3541912632821724
 Database,0.3541912632821724
 Marketing Analytics,0.3463203463203463
Data Management,0.3463203463203463
 Analytical,0.3463203463203463
 BIP Output,0.3463203463203463
 Test Planning,0.3463203463203463
 Financial Management,0.33844942935852024
 Business process improvement,0.33844942935852024
 Software development lifecycle,0.33844942935852024
 Debugging,0.33844942935852024
 Experimentation,0.33844942935852024
 Datadriven decision making,0.33844942935852024
 Risk analysis,0.33844942935852024
 Maintenance,0.33844942935852024
 Governance,0.33844942935852024
 Tax audits,0.33844942935852024
 Programming languages,0.33844942935852024
 Business Process Design,0.33844942935852024
 Network Security,0.3305785123966942
 Ethics,0.3305785123966942
 Epidemiology,0.3305785123966942
 Conflict Resolution,0.3305785123966942
 Power Point,0.3305785123966942
 Project planning,0.3305785123966942
 Dashboard Creation,0.3305785123966942
 Team collaboration,0.3305785123966942
 IAM,0.3305785123966942
 Selfmotivation,0.3305785123966942
 Audits,0.3305785123966942
 Distribution,0.3305785123966942
 Security Clearance,0.3305785123966942
 PostgreSQL,0.3305785123966942
 Kafka,0.3305785123966942
 Business Process Mapping,0.3305785123966942
 Authorization,0.3305785123966942
 Software testing,0.3305785123966942
 PHP,0.3305785123966942
 Microsoft,0.32270759543486816
 Intelligence networks,0.32270759543486816
 Use cases,0.32270759543486816
 Analytical Tools,0.32270759543486816
 Cyber Security,0.32270759543486816
 Statistical techniques,0.32270759543486816
 Agile methodologies,0.32270759543486816
 Medicaid,0.32270759543486816
 Software Engineering,0.32270759543486816
 Microsoft Suite,0.32270759543486816
 Sales tax,0.32270759543486816
 Remote Work,0.32270759543486816
 Purchasing,0.32270759543486816
 Leadership skills,0.32270759543486816
 Kubernetes,0.32270759543486816
 Power Pivot,0.32270759543486816
 SelfMotivation,0.32270759543486816
 Power Apps,0.3148366784730421
 Reporting Tools,0.3148366784730421
 GitHub,0.3148366784730421
 Agile development,0.3148366784730421
 Analytical tools,0.3148366784730421
 Functional Testing,0.3148366784730421
 Report Generation,0.3148366784730421
 Requirements Documentation,0.3148366784730421
 System design,0.3148366784730421
 Process Documentation,0.3148366784730421
 CostBenefit Analysis,0.3148366784730421
 Docker,0.3148366784730421
 Predictive analytics,0.3148366784730421
Business Systems Analyst,0.3148366784730421
 BI,0.3148366784730421
 Adobe Target,0.3148366784730421
 Support,0.306965761511216
 Business Intelligence (BI),0.306965761511216
Cybersecurity,0.306965761511216
 Security clearance,0.306965761511216
 Google Suite,0.306965761511216
 Google Cloud Platform,0.306965761511216
 Web Services,0.306965761511216
 Business Glossary,0.306965761511216
 Diversity,0.306965761511216
 MATLAB,0.306965761511216
 Program Management,0.306965761511216
 Process Analysis,0.306965761511216
 Requirement Gathering,0.306965761511216
 Adobe Experience Cloud,0.29909484454939
 Domo,0.29909484454939
 Office 365,0.29909484454939
 QlikView,0.29909484454939
 Azure Purview,0.29909484454939
 Microsoft SQL,0.29909484454939
 Financial statements,0.29909484454939
 Information Management,0.29909484454939
 Visual Basic,0.29909484454939
 Hypothesis testing,0.29909484454939
 FP&A,0.29909484454939
 Coordination,0.29909484454939
 Quantitative analysis,0.29909484454939
 Data Loading,0.29909484454939
 Data warehouse,0.29909484454939
 User training,0.29909484454939
 Application security,0.29909484454939
 Qualtrics,0.29909484454939
 Cloud Security,0.29909484454939
 Process mapping,0.29909484454939
 Workflow Analysis,0.29909484454939
 Validation,0.29909484454939
 Business administration,0.29909484454939
 Regression,0.291223927587564
 Smartsheet,0.291223927587564
 SCRUM,0.291223927587564
Intelligence analysis,0.291223927587564
 SSAS,0.291223927587564
 Stata,0.291223927587564
 Monitoring,0.291223927587564
 Budget Management,0.291223927587564
 Big data,0.291223927587564
 French,0.291223927587564
 Infrastructure,0.291223927587564
Microsoft Azure,0.291223927587564
 Math,0.291223927587564
 Team leadership,0.291223927587564
 Performance Management,0.291223927587564
 Data entry,0.291223927587564
 Team Player,0.291223927587564
 Liaison,0.291223927587564
 Technical Support,0.291223927587564
 Taxation,0.2833530106257379
 UNIX,0.2833530106257379
 Asset Management,0.2833530106257379
 Data Conversion,0.2833530106257379
 SOX,0.2833530106257379
 Statistical Methods,0.2833530106257379
 Requirements analysis,0.2833530106257379
 Internet protocols,0.2833530106257379
 Queries,0.2833530106257379
 Data engineering,0.2833530106257379
 SQL Server Reporting Services (SSRS),0.2833530106257379
 Relationship building,0.2833530106257379
 Supply chain management,0.2833530106257379
 UML,0.2833530106257379
 Data profiling,0.2833530106257379
Financial modeling,0.2833530106257379
 Billing,0.2833530106257379
 Integrity,0.2833530106257379
 Business Systems Analysis,0.27548209366391185
 Integrations,0.27548209366391185
 Application Development,0.27548209366391185
 Regulations,0.27548209366391185
 ETL processes,0.27548209366391185
 Data storytelling,0.27548209366391185
 CISA,0.27548209366391185
 Influence,0.27548209366391185
 Intelligence Analysis,0.27548209366391185
 Data Insights,0.27548209366391185
 PMP,0.27548209366391185
 Data accuracy,0.27548209366391185
 Azure AD,0.27548209366391185
 Ceridian Dayforce,0.27548209366391185
 Business Process Reengineering,0.27548209366391185
 General Ledger,0.27548209366391185
 UXone UDO,0.27548209366391185
 Facebook,0.27548209366391185
ERP,0.27548209366391185
 Javascript,0.27548209366391185
 SAP MM,0.27548209366391185
 Retail,0.27548209366391185
 Powerpoint,0.27548209366391185
 IFRS,0.27548209366391185
 DetailOriented,0.2676111767020858
 Best Practices,0.2676111767020858
 Technical Specifications,0.2676111767020858
 Data visualization tools,0.2676111767020858
 Problem Resolution,0.2676111767020858
 Functional specifications,0.2676111767020858
 Demand Planning,0.2676111767020858
 Taxonomy,0.2676111767020858
 HR,0.2676111767020858
 MS PowerPoint,0.2597402597402597
 SAP ERP,0.2597402597402597
 Data gathering,0.2597402597402597
 Slack,0.2597402597402597
 Dashboard Development,0.2597402597402597
 Data Storage,0.2597402597402597
 Oral communication,0.2597402597402597
 Perl,0.2597402597402597
 Supervision,0.2597402597402597
 Technical Requirements,0.2597402597402597
 Costbenefit analysis,0.2597402597402597
 Test cases,0.2597402597402597
 dbt,0.2597402597402597
 Process Optimization,0.2597402597402597
 Advanced Analytics,0.2597402597402597
 Process documentation,0.2597402597402597
 Cost analysis,0.2597402597402597
 Epic,0.2597402597402597
 Product development,0.2597402597402597
 Anaplan,0.2597402597402597
 MongoDB,0.2597402597402597
 Accountability,0.2597402597402597
 Data privacy,0.2597402597402597
 Oral Communication,0.2597402597402597
Project management,0.2597402597402597
 User Experience,0.2597402597402597
 EMR,0.2597402597402597
Computer Science,0.2597402597402597
 Compensation,0.2597402597402597
 Financial systems,0.2597402597402597
 MRP,0.2518693427784337
 Standard Operating Procedures,0.2518693427784337
 Bash,0.2518693427784337
 GST,0.2518693427784337
 Conflict resolution,0.2518693427784337
 Access certification,0.2518693427784337
 Indirect tax,0.2518693427784337
 Spotfire,0.2518693427784337
 Financial Statements,0.2518693427784337
 Biostatistics,0.2518693427784337
 Data Lakes,0.2518693427784337
Quality Assurance,0.2518693427784337
 data mining,0.2518693427784337
 Business Rules,0.2518693427784337
 Business process analysis,0.2518693427784337
 Stored Procedures,0.2518693427784337
SailPoint IdentityIQ,0.2518693427784337
 Mapping tools,0.2518693427784337
 Data Discovery,0.2518693427784337
 Bloomberg,0.2518693427784337
 User Acceptance Testing (UAT),0.2518693427784337
 MS SQL Server,0.24399842581660763
 Time management skills,0.24399842581660763
 Business processes,0.24399842581660763
 Functional requirements,0.24399842581660763
 Business intelligence (BI),0.24399842581660763
 Charts,0.24399842581660763
 SQL Queries,0.24399842581660763
 Targeting,0.24399842581660763
 Business Development,0.24399842581660763
 Penetration Testing,0.24399842581660763
 CrossFunctional Teams,0.24399842581660763
 Leadership Skills,0.24399842581660763
 Best practices,0.24399842581660763
 Selenium,0.24399842581660763
 System integration,0.24399842581660763
 SQL queries,0.24399842581660763
 Data Preparation,0.24399842581660763
 Contract Management,0.24399842581660763
 Statistical software,0.24399842581660763
 Management Information Systems,0.24399842581660763
 Industry Trends,0.23612750885478156
 Project,0.23612750885478156
 Dynamics CRM,0.23612750885478156
 ASP,0.23612750885478156
 Cost accounting,0.23612750885478156
 Workflow,0.23612750885478156
 MultiTasking,0.23612750885478156
 Data Aggregation,0.23612750885478156
Data Visualization,0.23612750885478156
 Tools,0.23612750885478156
 Dashboard creation,0.23612750885478156
 SPI,0.23612750885478156
 Accounts Payable,0.23612750885478156
 Crossfunctional teams,0.23612750885478156
 Sharepoint,0.23612750885478156
 Teamwork skills,0.23612750885478156
 Portfolio Management,0.23612750885478156
 HUMINT,0.23612750885478156
 Benefits,0.23612750885478156
 Google,0.23612750885478156
 Marketing analytics,0.23612750885478156
 Influencing,0.23612750885478156
 Data Reconciliation,0.23612750885478156
 Graphs,0.23612750885478156
 Microsoft Purview,0.23612750885478156
 Data Quality Control,0.23612750885478156
 Data Standardization,0.23612750885478156
 Microsoft Office suite,0.23612750885478156
 Adobe Experience Manager,0.22825659189295552
 Business strategy,0.22825659189295552
 HL7,0.22825659189295552
 Postman,0.22825659189295552
 Enterprise Resource Planning (ERP),0.22825659189295552
 Data Protection,0.22825659189295552
 Inventory,0.22825659189295552
 Accounting principles,0.22825659189295552
 Business Processes,0.22825659189295552
 Natural Language Processing,0.22825659189295552
 Intelligence,0.22825659189295552
 Product management,0.22825659189295552
 Relationship Management,0.22825659189295552
 data visualization,0.22825659189295552
 data analysis,0.22825659189295552
 Google Tag Manager,0.22825659189295552
 Public Health,0.22825659189295552
 Process Modeling,0.22825659189295552
